theme,multi_label_count,multi_label_pct,primary_count,primary_pct,close_rate,median_lifetime_days,stability_pct,plasticity_pct,generalization_pct,sp_gap
Gateway / Connectivity,10534,46.583823464378895,4761,21.054260823420158,58.18302639073476,3.231145833333333,69.30890449971521,57.61344218720335,22.868805771786597,11.695462312511864
Channel Integration,8222,36.35961615000221,2658,11.754300623535133,59.57188032108975,3.172696759259259,60.83677937241547,62.04086596935052,20.566772074920944,-1.2040865969350492
Installation / Deploy,6558,29.001017114049443,3463,15.31419979657719,54.955779200975904,2.9545717592592595,76.28850259225374,53.90362915523025,25.175358340957608,22.384873437023487
Crash / Error,4100,18.13116349002786,800,3.537787998054217,43.78048780487805,1.997986111111111,98.26829268292683,48.36585365853659,23.73170731707317,49.90243902439024
Model / LLM / Provider,8002,35.3867244505373,3403,15.048865696723123,56.598350412396904,3.198541666666667,64.80879780054987,62.109472631842046,29.20519870032492,2.699325168707823
Session Management,7562,33.44094105160748,660,2.9186750983947287,56.75747156836815,3.456209490740741,63.11822269240942,62.13964559640307,25.15207617032531,0.9785770960063473
Tool Use / Plugins,5264,23.278645027196745,757,3.3476318931588027,56.420972644376896,3.4935590277777777,65.50151975683892,81.23100303951368,27.241641337386017,-15.729483282674764
Memory / Context,3631,16.057135276168573,1033,4.568168752487507,55.521894794822366,3.736730324074074,59.95593500413109,71.10988708344809,30.48746901679978,-11.153952079316994
Security / Auth,4058,17.945429620130014,716,3.1663202582585237,58.20601281419419,3.3840219907407407,66.1655988171513,66.09167077378018,28.930507639231152,0.0739280433711258
UI / UX,2384,10.542608234201566,295,1.3045593242824924,55.998322147651,2.9184375,59.52181208053692,51.88758389261745,22.14765100671141,7.634228187919469
Scheduling / Automation,2580,11.40936629372485,1318,5.828505726794321,56.860465116279066,2.6666550925925927,68.25581395348837,64.92248062015504,28.294573643410853,3.3333333333333286
Agent Orchestration,3125,13.819484367399285,1027,4.541635342502101,52.64,3.8776041666666665,63.168,67.104,32.32,-3.936
